"Shape Of You"|"Ed Sheeran"|0|101|"7qiZfU4dY1lWllzX7mPBI3"|"6eUKZXaKkcviH0Ku9w2n3V"
"Despacito"|"Luis Fonsi & Daddy Yankee"|0|101|"6rPO02ozF3bM7NnOV4h6s2"|"4V8Sr092TqfHkfAA5fXXqG,4VMYDCV2IEDYJArk749S6m,1uNFoZAHBGtllmzznpCI3s"
"Perfect"|"Ed Sheeran"|0|101|"0tgVpDi06FyKpA1z0VMD4v"|"6eUKZXaKkcviH0Ku9w2n3V"
"Old Town Road"|"Lil Nas X & Billy Ray Cyrus"|0|101|"2YpeDb67231RjR0MgVLzsG"|"7jVv8c5Fj3E9VhNjxT4snq,60rpJ9SgigSd16DOAG7GSa"
"Bad Guy"|"Billie Eilish"|0|101|"2Fxmhks0bxGSBdJ92vM42m"|"6qqNVTkY8uBg9cP3Jd7DAH"
"Uptown Funk"|"Mark Ronson & Bruno Mars"|0|101|"32OlwWuMpZ6b0aN2RZOeMS"|"3hv9jJF3adDNsBSIQDqcjp,0du5cEVh5yTK9QJze8zA0C"
"Happy"|"Pharrell Williams"|0|101|"60nZcImufyMA1MKQY3dcCH"|"2RdwBSPQiwcmiDo9kixcl8"
"Havana"|"Camila Cabello & Young Thug"|0|101|"1rfofaqEpACxVEHIZBJe6W"|"4nDoRrQiYLoBzwC5BhVJzF,50co4Is1HCEo8bhOyUWKpn"
"Girls Like You"|"Maroon 5 & Cardi B"|0|101|"6V1bu6o1Yo5ZXnsCJU8Ovk"|"04gDigrS5kc9YWfZHwBETP,4kYSro6naA4h99UJvo89HB"
"Rolling In The Deep"|"Adele"|0|101|"1CkvWZme3pRgbzaxZnTl5X"|"4dpARuHxo51G3z768sgnrY"
"Sunflower "|"Post Malone & Swae Lee"|0|101|"3KkXRkHbMCARz0aVfEt68P"|"246dkjvS1zLTtiykXe5h60,1zNqQNIdeOUZHb8zbZRFMX"
"Party Rock Anthem"|"LMFAO"|0|101|"0IkKz2J93C94Ei4BvDop7P"|"3sgFRtyBnxXD5ESfmbK4dl,2jLE4BoXHriQ96JagEtiDP,53sIBaVjXQhfH89Vu6nEGh"
"Cheap Thrills"|"Sia"|0|101|"3S4px9f4lceWdKf0gWciFu"|"5WUlDfRSoLAfcVSX1WnrxN"
"Someone You Loved"|"Lewis Capaldi"|0|101|"7qEHsqek33rTcFNT9PFqLf"|"4GNC7GD6oZMSxPGyXy4MNB"
"Closer"|"The Chainsmokers & Halsey"|0|101|"7BKLCZ1jbUBVqRi2FVlTVw"|"26VFTg2z8YR0cCuwLzESi2,69GGBxA162lTqCwzJG5jLp"
"Cant Stop The Feeling"|"Justin Timberlake"|0|101|"1WkMMavIMc4JZ8cfMmxHkI"|"31TPClRtHm23RisEBtV3X7"
"Somebody That I Used To Know"|"Gotye & Kimbra"|0|101|"2Z4M60cuFBD3WSkJiew3Ex"|"645l3YVzzk5iVwexdybKxP"
"Rockstar"|"Post Malone & 21 Savage"|0|101|"0e7ipj03S05BNilyu5bRzt"|"246dkjvS1zLTtiykXe5h60,1URnnhqYAYcrqrcwql10ft"
"Thinking Out Loud"|"Ed Sheeran"|0|101|"34gCuhDGsG4bRPIf9bb02f"|"6eUKZXaKkcviH0Ku9w2n3V"
"Happier"|"Marshmello & Bastille"|0|101|"2dpaYNEQHiRxtZbfNsse99"|"64KEffDW9EtZ1y2vBYgq8T,7EQ0qTo7fWT7DPxmxtSYEc"
"Shallow"|"Lady Gaga & Bradley Cooper"|0|101|"4cdfzw5XZc85qVz6GZMC9O"|"1R27XsnE5qpncebtrgxJqJ"
"Without Me"|"Halsey"|0|101|"5p7ujcrUXASCNwRaWNHR1C"|"26VFTg2z8YR0cCuwLzESi2"
"All Of Me"|"John Legend"|0|101|"3U4isOIWM3VvDubwSI3y7a"|"5y2Xq6xcjJb2jVM54GHK3t"
"High Hopes"|"Panic! At the Disco"|0|101|"1rqqCSm0Qe4I9rUvWncaom"|"20JZFwl6HVl6yg8a4H3ZqK"
"Radioactive"|"Imagine Dragons"|0|101|"4G8gkOterJn0Ywt6uhqbhp"|"53XhwfbYqKCa1cC15pYq2q"
"Wake Me Up"|"Avicii"|0|101|"4h8VwCb1MTGoLKueQ1WgbD"|"1vCWHaC5f2uS3yhpwWbIA6"
"Senorita"|"Shawn Mendes & Camila Cabello"|0|101|"0TK2YIli7K1leLovkQiNik"|"7n2wHs1TKAczGzO7Dd2rGr,4nDoRrQiYLoBzwC5BhVJzF"
"One Dance"|"Drake & WizKid & Kyla"|0|101|"0tKc9kUTcXBQJb2yRJmPgy"|"7oLi2IQ3ZGq4ZKL49bpHPE"
"Love Yourself"|"Justin Bieber"|0|101|"66exOsrqRezFaPHJo3gdYN"|"1uNFoZAHBGtllmzznpCI3s"
"Call Me Maybe"|"Carly Rae Jepsen"|0|101|"3TGRqZ0a2l1LRblBkJoaDx"|"6sFIWsNpZYqfjUpaCgueju"
"Gods Plan"|"Drake"|0|101|"6DCZcSspjsKoFjzjrWoCdn"|"3TVXtAsR1Inumwj472S9r4"
"Blurred Lines"|"Robin Thicke & T.I. & Pharrell Williams"|0|101|"0d1URWdWqWstm2O0EsPMfs"|"0ZrpamOxcZybMHGg1AYtHP,4OBJLual30L7gRl5UkeRcT,2RdwBSPQiwcmiDo9kixcl8"
"Lean On"|"Major Lazer & DJ Snake"|0|101|"5kISWfzPFTvhb7eUs35nMW"|"738wLrAtLtCtFOLvQBXOXp,0bdfiayQAKewqEvaU6rXCv,540vIaP2JwjQb9dm3aArA4,1vyhD5VmyZ7KMfW5gqLgo5,329e4yvIujISKGKz1BZZbO"
"Counting Stars"|"OneRepublic"|0|101|"6sy3LkhNFjJWlaeSMNwQ62"|"5Pwc4xIPtQLFEnJriah9YJ"
"Sweet But Psycho"|"Ava Max"|0|101|"25sgk305KZfyuqVBQIahim"|"4npEfmQ6YuiwW1GpUmaq3F"
"Sorry"|"Justin Bieber"|0|101|"09CtPGIpYB4BrO8qb1RGsF"|"1uNFoZAHBGtllmzznpCI3s"
"Dont Let Me Down"|"The Chainsmokers & Daya"|0|101|"4s2rzq6ZpCfg5ODq0z79QG"|"69GGBxA162lTqCwzJG5jLp,6Dd3NScHWwnW6obMFbl1BH,2rTo8KIkBTFjQS7VvaKYQ4"
"Someone Like You"|"Adele"|0|101|"4kflIGfjdZJW4ot2ioixTB"|"4dpARuHxo51G3z768sgnrY"
"Better Now"|"Post Malone"|0|101|"7dt6x5M1jzdTEt8oCbisTK"|"246dkjvS1zLTtiykXe5h60"
"Sicko Mode"|"Travis Scott"|0|101|"2xLMifQCjDGFmkHkpNLD9h"|"0Y5tJX1MQlPlqiwlOH1tJY"
"All I Want For Christmas Is You"|"Mariah Carey"|0|101|"4I5Hn34v6foGP3ta9Xx0rN"|"4iHNK0tOyZPYnBU7nGAgpQ,46sXMHr9eHJYyO6uu0Jdeh"
"I Like It"|"Cardi B & Bad Bunny & J Balvin"|0|101|"58q2HKrzhC3ozto2nDdN4z"|"4kYSro6naA4h99UJvo89HB,4q3ewBCX7sLwd24euuV69X,1vyhD5VmyZ7KMfW5gqLgo5"
"Chandelier"|"Sia"|0|101|"2s1sdSqGcKxpPr5lCl7jAV"|"5WUlDfRSoLAfcVSX1WnrxN"
"Take Me To Church"|"Hozier"|0|101|"1CS7Sd1u5tWkstBhpssyjP"|"2FXC3k01G6Gw61bmprjgqS"
"Thunder"|"Imagine Dragons"|0|101|"1zB4vmk8tFRmM9UULNzbLB"|"53XhwfbYqKCa1cC15pYq2q"
"Eastside"|"Benny Blanco & Halsey & Khalid"|0|101|"0d2iYfpKoM0QCKvcLCkBao"|"5CiGnKThu5ctn9pBxv7DGa,26VFTg2z8YR0cCuwLzESi2,6LuN9FCkKOj5PcnpouEgny"
"I Dont Care"|"Ed Sheeran & Justin Bieber"|0|101|"2Xqm0jHnkvjzrkkVRInzUB"|"6eUKZXaKkcviH0Ku9w2n3V,1uNFoZAHBGtllmzznpCI3s,2oZcMYiKpjaA2Et5mU3RPP,1gWjcmBsveEYMxOZ0VRi32"
"Cheerleader"|"OMI"|0|101|"023OVLNzXhX0j7CxswUt6D"|"5MouCg6ta7zAxsfMEbc1uh"
"Moves Like Jagger"|"Maroon 5 & Christina Aguilera"|0|101|"1IWL6h4WtdXxl0BObVU8tg"|"0DvX5hMrYAqgGZoJwBEDif"
"Unforgettable"|"French Montana & Swae Lee"|0|101|"3ESURCQuDWDui99W8IFdoN"|"6vXTefBL93Dj5IqAWq6OTv,4iHNK0tOyZPYnBU7nGAgpQ,1zNqQNIdeOUZHb8zbZRFMX"
